year,op,name,kind,n
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",ПРИЧІП,280
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",СПЕЦІАЛІЗОВАНІ,143
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, УСТАНОВИ",ТРИЦИКЛ,3
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРД",АВТОБУС,4
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРД",ВАНТАЖНИЙ,24
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРД",ЛЕГКОВИЙ,277
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРД",НАПІВПРИЧІП,5
2013,100,"100 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ПРИДБАНОГО В ТОРГІВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРД",ПРИЧІП,2
2013,101,101 - РЕЄСТРАЦIЯ ТЗ ЗА ДОГОВОРОМ ЛІЗИНГУ,АВТОБУС,92
2013,101,101 - РЕЄСТРАЦIЯ ТЗ ЗА ДОГОВОРОМ ЛІЗИНГУ,ВАНТАЖНИЙ,962
2013,101,101 - РЕЄСТРАЦIЯ ТЗ ЗА ДОГОВОРОМ ЛІЗИНГУ,ЛЕГКОВИЙ,1385
2013,101,101 - РЕЄСТРАЦIЯ ТЗ ЗА ДОГОВОРОМ ЛІЗИНГУ,НАПІВПРИЧІП,177
2013,101,101 - РЕЄСТРАЦIЯ ТЗ ЗА ДОГОВОРОМ ЛІЗИНГУ,ПРИЧІП,43
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,АВТОБУС,47
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,ВАНТАЖНИЙ,119
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,ЛЕГКОВИЙ,252
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,МОПЕД,1
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,МОТОЦИКЛ,36
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,НАПІВПРИЧІП,8
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,ПРИЧІП,41
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,СПЕЦІАЛІЗОВАНІ,1
2013,11,11 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ ІНШИХ ОРГ. ДЕРЖ.ВЛАСНОСТІ,ТРИЦИКЛ,1
2013,110,110 - РЕЄСТРАЦIЯ ТЗ ОТРИМАНОГО ЧЕРЕЗ ВIДДIЛ СОЦ. ЗАХИСТУ,ЛЕГКОВИЙ,1680
2013,120,120 - РЕЄСТРАЦIЯ ТЗ ОТРИМАНОГО ПО ВИГРАШУ,ВАНТАЖНИЙ,1
2013,120,120 - РЕЄСТРАЦIЯ ТЗ ОТРИМАНОГО ПО ВИГРАШУ,ЛЕГКОВИЙ,10
2013,13,13 -  ВИПРАВЛЕННЯ VIN-КОДУ (ПІСЛЯ ВИПРАВЛЕННЯ КАРТКУ ВИДАЛИТИ),АВТОБУС,3
2013,13,13 -  ВИПРАВЛЕННЯ VIN-КОДУ (ПІСЛЯ ВИПРАВЛЕННЯ КАРТКУ ВИДАЛИТИ),ВАНТАЖНИЙ,22
2013,13,13 -  ВИПРАВЛЕННЯ VIN-КОДУ (ПІСЛЯ ВИПРАВЛЕННЯ КАРТКУ ВИДАЛИТИ),ЛЕГКОВИЙ,77
2013,13,13 -  ВИПРАВЛЕННЯ VIN-КОДУ (ПІСЛЯ ВИПРАВЛЕННЯ КАРТКУ ВИДАЛИТИ),НАПІВПРИЧІП,3
2013,13,13 -  ВИПРАВЛЕННЯ VIN-КОДУ (ПІСЛЯ ВИПРАВЛЕННЯ КАРТКУ ВИДАЛИТИ),ПРИЧІП,1
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,АВТОБУС,3
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,ВАНТАЖНИЙ,13
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,ЛЕГКОВИЙ,414
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,МОПЕД,1
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,МОТОЦИКЛ,5
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,НАПІВПРИЧІП,1
2013,130,130 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З ПРИЇЗДОМ НА ПМЖ,ПРИЧІП,12
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМЖ В МЕЖАХ ОБЛАСТІ,АВТОБУС,1
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМЖ В МЕЖАХ ОБЛАСТІ,ВАНТАЖНИЙ,3
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМЖ В МЕЖАХ ОБЛАСТІ,ЛЕГКОВИЙ,60
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМЖ В МЕЖАХ ОБЛАСТІ,МОТОЦИКЛ,2
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМЖ В МЕЖАХ ОБЛАСТІ,ПРИЧІП,2
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМП В МЕЖАХ УКРАЇНИ,ВАНТАЖНИЙ,3
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМП В МЕЖАХ УКРАЇНИ,ЛЕГКОВИЙ,6
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМП В МЕЖАХ УКРАЇНИ,МОТОЦИКЛ,1
2013,131,131 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ З ПРИЇЗДОМ НА ПМП В МЕЖАХ УКРАЇНИ,ПРИЧІП,3
2013,14,14 - ВНЕСЕННЯ БЕЗНОМЕРНОГО ТЗ (ТІЛЬКИ ДЛЯ ВИДАЧІ ДОПНВ),ВАНТАЖНИЙ,4
2013,14,14 - ВНЕСЕННЯ БЕЗНОМЕРНОГО ТЗ (ТІЛЬКИ ДЛЯ ВИДАЧІ ДОПНВ),НАПІВПРИЧІП,3
2013,140,140 - ВТОРИННА РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,ВАНТАЖНИЙ,2
2013,140,140 - ВТОРИННА РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,ЛЕГКОВИЙ,12
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,АВТОБУС,48
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,ВАНТАЖНИЙ,509
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,ЛЕГКОВИЙ,1844
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,МОПЕД,1
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,МОТОЦИКЛ,13
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,НАПІВПРИЧІП,63
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,ПРИЧІП,47
2013,140,140 - РЕЄСТРАЦIЯ ТЗ У ЗВ`ЯЗКУ З НЕПРОДАЖЕМ,СПЕЦІАЛІЗОВАНІ,1
2013,141,141 - РЕЄСТРАЦIЯ ТЗ ПIСЛЯ ВIДМIНИ ЇЇ АНУЛЮВАННЯ,АВТОБУС,3
2013,141,141 - РЕЄСТРАЦIЯ ТЗ ПIСЛЯ ВIДМIНИ ЇЇ АНУЛЮВАННЯ,ВАНТАЖНИЙ,10
2013,141,141 - РЕЄСТРАЦIЯ ТЗ ПIСЛЯ ВIДМIНИ ЇЇ АНУЛЮВАННЯ,ЛЕГКОВИЙ,50
2013,141,141 - РЕЄСТРАЦIЯ ТЗ ПIСЛЯ ВIДМIНИ ЇЇ АНУЛЮВАННЯ,МОТОЦИКЛ,15
2013,141,141 - РЕЄСТРАЦIЯ ТЗ ПIСЛЯ ВIДМIНИ ЇЇ АНУЛЮВАННЯ,ПРИЧІП,3
2013,142,142 - РЕЄСТРАЦІЯ БЕЗХАЗЯЙНОГО ТЗ,МОТОЦИКЛ,1
2013,142,142 - РЕЄСТРАЦІЯ БЕЗХАЗЯЙНОГО ТЗ,ПРИЧІП,1
2013,143,143 - ПОНОВЛЕННЯ РЕЄСТР. ПІСЛЯ УМОВН. ЗНЯТТЯ З ОБЛ. З НЕПР. ТО,АВТОБУС,2
2013,143,143 - ПОНОВЛЕННЯ РЕЄСТР. ПІСЛЯ УМОВН. ЗНЯТТЯ З ОБЛ. З НЕПР. ТО,ВАНТАЖНИЙ,25
2013,143,143 - ПОНОВЛЕННЯ РЕЄСТР. ПІСЛЯ УМОВН. ЗНЯТТЯ З ОБЛ. З НЕПР. ТО,ЛЕГКОВИЙ,81
2013,143,143 - ПОНОВЛЕННЯ РЕЄСТР. ПІСЛЯ УМОВН. ЗНЯТТЯ З ОБЛ. З НЕПР. ТО,МОТОЦИКЛ,30
2013,143,143 - ПОНОВЛЕННЯ РЕЄСТР. ПІСЛЯ УМОВН. ЗНЯТТЯ З ОБЛ. З НЕПР. ТО,ПРИЧІП,7
2013,15,15 - ВНЕСЕННЯ БЕЗНОМЕРНОГО ТЗ (ТІЛЬКИ ДЛЯ ВИБРАКОВКИ),ВАНТАЖНИЙ,1
2013,150,150 - РЕЄСТРАЦIЯ ТЗ САМОСТIЙНО СКЛАДЕНОГО,ЛЕГКОВИЙ,7
2013,150,150 - РЕЄСТРАЦIЯ ТЗ САМОСТIЙНО СКЛАДЕНОГО,ПРИЧІП,24
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,АВТОБУС,27
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,ВАНТАЖНИЙ,238
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,ЛЕГКОВИЙ,233
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,МОТОЦИКЛ,1
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,НАПІВПРИЧІП,15
2013,151,151 - РЕЄСТРАЦІЯ ТЗ У ЗВ'ЯЗКУ ЗІ ЗМІНОЮ МІСЦЯ СТОЯНКИ,ПРИЧІП,5
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,АВТОБУС,852
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,ВАНТАЖНИЙ,4678
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,ЛЕГКОВИЙ,10840
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,МОПЕД,6
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,МОТОЦИКЛ,59
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,НАПІВПРИЧІП,920
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,ПРИЧІП,978
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,СПЕЦІАЛІЗОВАНІ,413
2013,20,20 - ПЕРВИННА РЕЄСТРАЦIЯ ТЗ ДЛЯ НЕДЕРЖ. ОРГАНIЗАЦIЇ,ТРИЦИКЛ,4
2013,200,200 - ВИДАЧА ТИМЧАС. ТАЛОНУ ПРИ ВТРАТI СВIД ПРО РЕЄСТРАЦIЮ,ВАНТАЖНИЙ,2
2013,200,200 - ВИДАЧА ТИМЧАС. ТАЛОНУ ПРИ ВТРАТI СВIД ПРО РЕЄСТРАЦIЮ,ЛЕГКОВИЙ,10
2013,200,200 - ВИДАЧА ТИМЧАС. ТАЛОНУ ПРИ ВТРАТI СВIД ПРО РЕЄСТРАЦIЮ,МОПЕД,11
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,АВТОБУС,5
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,ВАНТАЖНИЙ,156
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,ЛЕГКОВИЙ,238
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,МОПЕД,47
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,МОТОЦИКЛ,12
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,НАПІВПРИЧІП,5
2013,210,210 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ РЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТОЧНЕН,ПРИЧІП,16
2013,212,212 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНА ЗА ЗАЯВОЮ ВЛАСНИКА ДЛЯ ПЕРЕРЕЄСТРАЦІЇ У ТОМУ ЧИСЛІ ПРИ УТО,ЛЕГКОВИЙ,1
2013,220,220 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ПРИ ЗОБОВ'ЯЗАННІ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ,ВАНТАЖНИЙ,8
2013,220,220 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ПРИ ЗОБОВ'ЯЗАННІ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ,ЛЕГКОВИЙ,63
2013,220,220 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ПРИ ЗОБОВ'ЯЗАННІ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ,МОПЕД,1
2013,220,220 - ВИДАЧА ТИМЧАСОВОГО ТАЛОНУ ПРИ ЗОБОВ'ЯЗАННІ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ,НАПІВПРИЧІП,9
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",ВАНТАЖНИЙ,26
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",ЛЕГКОВИЙ,518
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",МОПЕД,1
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",МОТОЦИКЛ,3
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",НАПІВПРИЧІП,18
2013,221,"221 - РЕЄСТРАЦІЮ ТЗ,ВВЕЗЕНОГО ПІД ЗОБОВ'ЯЗАННЯ ПРО ЗВОРОТНЕ ВИВЕЗЕННЯ",ПРИЧІП,1
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,АВТОБУС,4
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,ВАНТАЖНИЙ,59
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,ЛЕГКОВИЙ,121
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,МОТОЦИКЛ,1
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,НАПІВПРИЧІП,35
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН,ПРИЧІП,7
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,АВТОБУС,623
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,ВАНТАЖНИЙ,3675
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,ЛЕГКОВИЙ,4903
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,МОТОЦИКЛ,37
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,НАПІВПРИЧІП,1958
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,ПРИЧІП,458
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,СПЕЦІАЛІЗОВАНІ,2
2013,230,230 -  ВИДАЧА СВ. ПРО РЕЄСТР ДЛЯ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ,ТРИЦИКЛ,1
2013,240,240 -  ПОСТАНОВКА НА ТИМЧАСОВИЙ ОБЛIК ТЗ ПРИБУЛОГО З IНШ. РЕГ,АВТОБУС,2
2013,240,240 -  ПОСТАНОВКА НА ТИМЧАСОВИЙ ОБЛIК ТЗ ПРИБУЛОГО З IНШ. РЕГ,ВАНТАЖНИЙ,3
2013,240,240 -  ПОСТАНОВКА НА ТИМЧАСОВИЙ ОБЛIК ТЗ ПРИБУЛОГО З IНШ. РЕГ,ЛЕГКОВИЙ,14
2013,240,240 -  ПОСТАНОВКА НА ТИМЧАСОВИЙ ОБЛIК ТЗ ПРИБУЛОГО З IНШ. РЕГ,ПРИЧІП,1
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,АВТОБУС,14277
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,ВАНТАЖНИЙ,2443
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,ЛЕГКОВИЙ,7983
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,МОПЕД,17
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,МОТОЦИКЛ,52
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,НАПІВПРИЧІП,835
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,ПРИЧІП,279
2013,250,250 -  ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ,ТРИЦИКЛ,1
2013,251,251 -  ВИДАЧА ТИМЧАС. РЕЄСТР. ТАЛОНУ ПО ДОРУЧ. ДЛЯ ТЗ IНШ РЕГ,АВТОБУС,129
2013,251,251 -  ВИДАЧА ТИМЧАС. РЕЄСТР. ТАЛОНУ ПО ДОРУЧ. ДЛЯ ТЗ IНШ РЕГ,ВАНТАЖНИЙ,78
2013,251,251 -  ВИДАЧА ТИМЧАС. РЕЄСТР. ТАЛОНУ ПО ДОРУЧ. ДЛЯ ТЗ IНШ РЕГ,ЛЕГКОВИЙ,148
2013,251,251 -  ВИДАЧА ТИМЧАС. РЕЄСТР. ТАЛОНУ ПО ДОРУЧ. ДЛЯ ТЗ IНШ РЕГ,НАПІВПРИЧІП,55
2013,251,251 -  ВИДАЧА ТИМЧАС. РЕЄСТР. ТАЛОНУ ПО ДОРУЧ. ДЛЯ ТЗ IНШ РЕГ,ПРИЧІП,1
